id,created,createdBy,updated,updatedBy,name,description,status,subCategoriesCount,questionCount,nameAlias
1,"2024-08-12T09:42:34.000Z",3930,"2024-08-14T08:49:28.000Z",0,"Data Governance","Data Governance","Active",1,13,"Data Governance"
2,"2024-08-12T09:42:50.000Z",3931,"2024-08-13T12:54:32.000Z",0,"Culture","Culture","Active",3,3,"Culture"
3,"2024-08-12T09:43:04.000Z",3931,"2024-08-13T12:54:41.000Z",0,"Operations","Operations","Active",4,5,"Operations"
4,"2024-08-12T09:43:16.000Z",3931,"2024-08-13T12:54:40.000Z",0,"Data","Data\n","Active",3,3,"Data"
5,"2024-08-12T09:43:28.000Z",3931,"2024-08-13T12:54:41.000Z",0,"Technology","Technology\n","Active",5,5,"Technology"
6,"2024-08-12T09:45:44.000Z",3930,"2024-08-14T09:38:28.000Z",0,"Data Architecture","Data Architecture","Active",1,9,"Data Architecture"
7,"2024-08-12T09:46:20.000Z",3929,"2024-08-13T12:48:57.000Z",0,"Change Management","Change Management","Active",1,11,"Change Management"
8,"2024-08-12T09:46:46.000Z",3930,"2024-08-14T10:27:12.000Z",0,"Data Modeling and Design","Data Modeling and Design","Active",1,10,"Data Modeling and Design"
9,"2024-08-12T09:47:33.000Z",3930,"2024-08-14T12:46:55.000Z",0,"Data Storage and Operations","Data Storage and Operations","Active",1,11,"Data Storage and Operations"
10,"2024-08-12T09:47:34.000Z",3929,"2024-08-13T12:50:56.000Z",0,"Devices","Devices","Active",1,8,"Devices"
11,"2024-08-12T09:48:18.000Z",3929,"2024-08-13T12:51:05.000Z",0,"Application","Application","Active",1,9,"Application"
12,"2024-08-12T09:48:22.000Z",3930,"2024-08-19T08:44:01.000Z",0,"Data Security","Data Security","Active",1,10,"Data Security"
13,"2024-08-12T09:49:10.000Z",3929,"2024-08-13T12:51:13.000Z",0,"Networks","Networks","Active",1,8,"Networks"
14,"2024-08-12T09:49:28.000Z",3930,"2024-08-19T08:59:47.000Z",0,"Data Integration and Interoperability","Data Integration and Interoperability","Active",0,4,"Data Integration and Interoperability"
15,"2024-08-12T09:50:05.000Z",3929,"2024-08-13T12:51:21.000Z",0,"Data","Data","Active",1,11,"Data"
16,"2024-08-12T09:50:18.000Z",3930,"2024-08-19T09:24:38.000Z",0,"Document & Content Management","Document & Content Management","Active",0,5,"Document & Content Management"
17,"2024-08-12T09:50:52.000Z",3929,"2024-08-13T12:51:37.000Z",0,"Users","Users","Active",1,24,"Users"
18,"2024-08-12T09:51:30.000Z",3930,"2024-08-19T10:15:07.000Z",0,"Reference & Master Data Management","Reference & Master Data Management","Active",1,4,"Reference & Master Data Management"
19,"2024-08-12T09:51:48.000Z",3929,"2024-08-13T12:52:42.000Z",0,"Portfolio Planning","Portfolio Planning","Active",1,3,"Portfolio Planning"
20,"2024-08-12T09:52:14.000Z",3930,"2024-08-19T10:46:11.000Z",0,"Data Warehousing & Business Intelligence","Data Warehousing & Business Intelligence","Active",1,6,"Data Warehousing & Business Intelligence"
21,"2024-08-12T09:52:35.000Z",3929,"2024-08-13T12:52:42.000Z",0,"RAID Management","RAID Management","Active",1,1,"RAID Management"
22,"2024-08-12T09:53:14.000Z",3930,"2024-08-19T12:00:27.000Z",0,"Metadata Management","Metadata Management","Active",1,14,"Metadata Management"
23,"2024-08-12T09:53:36.000Z",3929,"2024-08-13T12:52:42.000Z",0,"Finance Management","Finance Management","Active",1,1,"Finance Management"
24,"2024-08-12T09:54:08.000Z",3930,"2024-08-21T05:07:38.000Z",0,"Data Quality","Data Quality","Active",0,10,"Data Quality"
25,"2024-08-12T09:54:53.000Z",3930,"2024-08-12T13:19:59.000Z",0,"Core assets","Core assets","Active",3,16,"Core assets"
26,"2024-08-12T09:56:08.000Z",3929,"2024-08-29T14:16:16.000Z",0,"Benefit Management\t","Benefit Management\t","Active",1,2,"Benefit Management\t"
27,"2024-08-12T09:56:27.000Z",3930,"2024-08-12T13:20:08.000Z",0,"Digital capabilities","Digital capabilities","Active",3,16,"Digital capabilities"
28,"2024-08-12T09:56:51.000Z",3929,"2024-08-13T12:52:42.000Z",0,"Resource Management","Resource Management","Active",1,1,"Resource Management"
29,"2024-08-12T09:57:41.000Z",3929,"2024-08-13T12:52:43.000Z",0,"Governance & Change Control","Governance & Change Control","Active",1,3,"Governance & Change Control"
30,"2024-08-12T09:58:08.000Z",3930,"2024-08-13T12:48:33.000Z",0,"Success","Success","Active",1,11,"Success"
31,"2024-08-12T09:58:32.000Z",3929,"2024-08-13T12:52:48.000Z",0,"Stakeholder Engagement & Change Management","Stakeholder Engagement & Change Management","Active",1,2,"Stakeholder Engagement & Change Management"
32,"2024-08-12T09:59:12.000Z",3930,"2024-08-13T12:48:43.000Z",0,"Leadership/Sponsorship","Leadership/Sponsorship","Active",1,11,"Leadership/Sponsorship"
33,"2024-08-12T10:00:09.000Z",3930,"2024-08-13T12:48:51.000Z",0,"Project Management","Project Management","Active",1,11,"Project Management"
34,"2024-08-12T10:02:39.000Z",3929,"2024-08-13T12:52:48.000Z",0,"Framework & Tools","Framework & Tools","Active",1,3,"Framework & Tools"
35,"2024-08-12T10:03:44.000Z",3929,"2024-08-13T12:52:47.000Z",0,"Training & Development","Training & Development","Active",1,1,"Training & Development"
36,"2024-08-12T10:05:31.000Z",3929,"2024-08-13T12:54:23.000Z",0,"Customer","Customer","Active",4,4,"Customer"
