id,created,createdBy,updated,updatedBy,title,description,startDate,endDate,thumbnailImage,bannerImage,status,totalCategories,totalQuestions,totalUsers,isOpen,upload_file,Consultant,openUserRecommendation,closedUserRecommendation,surveyRecmOpen,categoryRecmOpen,questionRecmOpen
3,"2024-08-12T13:09:57.000Z",3931,"2024-08-29T09:32:50.000Z",3929,"Alumni Data Maturity Assessment","The primary goal of a Data Maturity Assessment is to identify the current state of data management and analytics within an organization. It helps in pinpointing strengths, weaknesses, and areas of improvement, enabling the organization to develop a roadmap for advancing its data maturity. This assessment typically examines various aspects of data management and governance to understand how mature the organization is in its data-related practices. The outcome of a Data Maturity Assessment is typically a detailed understanding of the organization’s data capabilities, a set of prioritized recommendations for improvement, and a roadmap for achieving higher levels of data maturity","1899-11-30T00:00:00.000Z","1899-11-30T00:00:00.000Z","","","Scheduled",0,0,0,1,"https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/28147113507391010.csv",6,0,0,0,0,0
4,"2024-08-12T13:19:42.000Z",3931,"2024-08-26T06:22:14.000Z",3929,"Digital Readiness Assessment V00C","Digital Readiness Assessment evaluates an organization's preparedness to adopt and leverage digital technologies. It examines key areas such as technology infrastructure, digital skills, organizational culture, and processes. The assessment identifies strengths, gaps, and areas for improvement, enabling the organization to create a strategic roadmap for digital transformation. This helps in aligning digital initiatives with business goals, ensuring the organization is equipped to thrive in a rapidly evolving digital landscape.","1899-11-30T00:00:00.000Z","1899-11-30T00:00:00.000Z","","","Scheduled",0,0,0,1,"https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/6895956420272142.csv",4,0,1,"","",""
5,"2024-08-12T13:24:01.000Z",3931,"2024-08-29T04:59:24.000Z",3931,"Alumni Data Maturity Assessment - Business Audience ","Data Maturity Assessment for business audience evaluates how effectively an organization manages and utilizes data to drive decisions. It examines data governance, quality, integration, analytics, and culture. The assessment identifies strengths, weaknesses, and areas for growth, providing insights into how data can be better leveraged to enhance efficiency, competitiveness, and decision-making. It offers actionable recommendations, aligning data management practices with strategic business goals for improved outcomes.","1899-11-30T00:00:00.000Z","1899-11-30T00:00:00.000Z","","","Scheduled",0,0,0,0,"https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/328182075702851.csv",6,0,0,"","",""
6,"2024-08-13T05:11:42.000Z",3931,"2024-08-21T07:09:42.000Z",3929,"Data maturity for Demo","Data maturity is a measure of how effectively an organization utilizes its data to drive decision-making and achieve business goals. It reflects the organization's ability to collect, manage, analyze, and leverage data across various functions and levels. Organizations can assess their data maturity by using self-assessment tools, surveys, or external audits. This evaluation helps identify strengths, weaknesses, and areas for improvement.","2024-07-01T00:00:00.000Z","2024-08-31T00:00:00.000Z","","","In-Progress",0,0,0,1,"",1,"","","","",""
7,"2024-08-13T12:48:20.000Z",3931,"2024-08-29T04:59:39.000Z",3931,"Alumni's Change Management Assessment","A Change Management Assessment evaluates an organization’s readiness and capability to implement and sustain change initiatives. It examines factors like leadership support, communication strategies, employee engagement, and the effectiveness of change management processes. The assessment identifies potential risks, strengths, and areas for improvement, enabling the organization to enhance its change management practices. This helps in ensuring smoother transitions, minimizing resistance, and achieving successful, lasting transformations aligned with business objectives.","1899-11-30T00:00:00.000Z","1899-11-30T00:00:00.000Z","","","Scheduled",0,0,0,1,"https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/81403550200072770.csv",7,0,0,"","",""
8,"2024-08-13T12:50:49.000Z",3931,"2024-08-29T04:59:53.000Z",3931,"Alumni's InfoSec Maturity Assessment ","InfoSec Maturity Assessment evaluates an organization’s information security capabilities across key areas such as policies, procedures, technologies, and incident response. It assesses the effectiveness of current security measures, identifies vulnerabilities, and determines the maturity level of the organization's security posture. The assessment provides insights and recommendations to enhance security practices, ensuring robust protection against threats, compliance with regulations, and alignment with industry standards, ultimately strengthening the organization’s overall security resilience.","1899-11-30T00:00:00.000Z","1899-11-30T00:00:00.000Z","","","Scheduled",0,0,0,1,"https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/66992055184083790.csv",8,0,0,"","",""
9,"2024-08-13T12:52:29.000Z",3931,"2024-08-29T05:00:09.000Z",3931,"Alumni's Portfolio Management Maturity Assessment","Portfolio Management Maturity Assessment evaluates an organization's capability to manage and optimize its portfolio of projects and initiatives. It examines areas such as governance, prioritization, resource allocation, risk management, and alignment with strategic objectives. The assessment identifies maturity levels, strengths, and gaps, providing actionable insights to enhance portfolio management practices. This helps in maximizing value, improving decision-making, and ensuring that projects are aligned with the organization's long-term goals for optimal outcomes.","1899-11-30T00:00:00.000Z","1899-11-30T00:00:00.000Z","","","Scheduled",0,0,0,1,"https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/116698753600953840.csv",9,0,0,"","",""
10,"2024-08-13T12:54:19.000Z",3931,"2024-08-29T05:00:24.000Z",3931,"Alumni's Transformation maturity assessment","Transformation Maturity Assessment evaluates an organization’s readiness and capability to execute and sustain large-scale transformation initiatives. It examines dimensions such as strategic alignment, leadership, change management, digital adoption, and organizational culture. The assessment identifies the current maturity level, strengths, and gaps, providing insights into areas needing improvement. This helps the organization develop a targeted roadmap for successful transformation, ensuring alignment with business goals and enhancing the overall effectiveness of change efforts.","1899-11-30T00:00:00.000Z","1899-11-30T00:00:00.000Z","","","Scheduled",0,0,0,1,"https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/24922351528305484.csv",10,0,0,"","",""
11,"2024-08-16T10:15:07.000Z",3888,"2024-08-21T07:09:42.000Z",3929,"test survey","test survey","2024-08-01T00:00:00.000Z","2024-08-20T00:00:00.000Z","","","In-Progress",0,0,0,1,"",1,"","","","",""
12,"2024-08-19T05:57:18.000Z",3931,"2024-08-29T05:00:39.000Z",3931,"AI maturity assessment","The AI Maturity Assessment is a structured evaluation process that helps organizations determine their current level of AI adoption and readiness. It provides a comprehensive analysis of the organization's AI capabilities, including its infrastructure, data management, talent, and strategic alignment with business goals. By identifying strengths and areas for improvement, the AI Maturity Assessment guides organizations in developing a roadmap to advance their AI capabilities, ensuring they can leverage AI effectively for competitive advantage and sustainable growth.","1899-11-30T00:00:00.000Z","1899-11-30T00:00:00.000Z","","","Scheduled",0,0,0,1,"https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/112893315601245020.csv",11,1,0,"","",""
13,"2024-08-19T09:56:50.000Z",3931,"2024-08-29T05:01:04.000Z",3931,"No Code/ Low Code Maturity Assessment","No Code/Low Code Maturity Assessment evaluates an organization's readiness and capability to adopt and scale no-code/low-code development platforms. It examines factors like platform adoption, user proficiency, governance, integration with existing systems, and alignment with IT strategy. The assessment identifies current maturity levels, strengths, and areas for growth, providing insights to enhance the effectiveness and efficiency of application development. This enables faster innovation, reduces dependency on traditional coding, and aligns development practices with business needs.","1899-11-30T00:00:00.000Z","1899-11-30T00:00:00.000Z","","","Scheduled",0,0,0,1,"https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/87558201093837020.csv",12,0,0,"","",""
14,"2024-08-21T05:46:19.000Z",3931,"2024-08-26T06:18:15.000Z",3929,"Infosec V2","","1899-11-30T00:00:00.000Z","1899-11-30T00:00:00.000Z","","","Scheduled",0,0,0,0,"",5,0,0,"","",""
15,"2024-08-22T11:41:10.000Z",3931,"2024-08-27T11:42:15.000Z",3929,"Voice of the Team: Your Feedback, Our Future – Shaping Tomorrow's Success Together, One Insight at a Time. Your opinions guide our progress and innovation.","UI Test","1899-11-30T00:00:00.000Z","1899-11-30T00:00:00.000Z","","https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/138342161016163600.jpg","Scheduled",0,0,0,1,"https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/66072204630208480.csv",5,1,1,1,0,0
17,"2024-08-26T10:42:07.000Z",3931,"2024-08-26T10:42:07.000Z",3931,"BM Test","BM Test","","","","","Scheduled",0,0,0,1,"https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/78968512690304350.csv","","","","","",""
18,"2024-08-26T11:34:49.000Z",3930,"2024-08-26T11:34:49.000Z",3930,"Trysurvey","","2024-08-26T00:00:00.000Z","2024-09-10T00:00:00.000Z","","","Scheduled",0,0,0,1,"https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/165449417897495140.csv","","","","","",""
19,"2024-08-26T11:58:12.000Z",3930,"2024-08-26T11:58:12.000Z",3930,"trysurveynew","trysurveynew","2024-08-16T00:00:00.000Z","2024-08-31T00:00:00.000Z","","","Scheduled",0,0,0,0,"https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/143804560510175170.csv","","","","","",""
20,"2024-08-26T12:12:58.000Z",3931,"2024-08-26T12:12:58.000Z",3931,"uploadcheck","uploadcheck","","","","","Scheduled",0,0,0,1,"https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/121750052116275920.csv","","","","","",""
21,"2024-08-27T05:46:39.000Z",3931,"2024-08-27T12:20:25.000Z",3931,"new_survey","new_survey","1899-11-30T00:00:00.000Z","1899-11-30T00:00:00.000Z","","","Scheduled",0,0,0,1,"https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/87746230646958060.csv",0,0,1,0,0,0
22,"2024-08-27T06:10:37.000Z",3931,"2024-08-27T11:56:57.000Z",3931,"BM check","BM check","1899-11-30T00:00:00.000Z","1899-11-30T00:00:00.000Z","","","Scheduled",0,0,0,1,"",4,1,1,1,1,0
25,"2024-08-29T05:49:15.000Z",3931,"2024-08-29T05:49:15.000Z",3931,"CSV upload test","CSV upload test","2024-08-29T00:00:00.000Z","2024-08-29T00:00:00.000Z","","","Scheduled",0,0,0,1,"https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/11366300010928582.csv","","","","","",""
