id,created,createdBy,updated,updatedBy,clientId,_importId,actionBy,moduleName,functionName,extra,questionId,answer,score
1,"2024-04-26T11:05:27.000Z",3821,"2024-04-26T11:05:27.000Z",3821,-1,84,"addon","exim","importData","{}",1,"We have no data governance framework.",1
2,"2024-04-26T11:05:27.000Z",3821,"2024-04-26T11:05:27.000Z",3821,-1,84,"addon","exim","importData","{}",1,"Our data governance initiatives directly support and clearly align with our overall business strategy and objectives.",2
3,"2024-04-26T11:05:27.000Z",3821,"2024-04-26T11:05:27.000Z",3821,-1,84,"addon","exim","importData","{}",1,"Our data governance framework outlines the roles and responsibilities of different stakeholders (e.g., data owners, data stewards, business units) in data-related decision-making.",3
4,"2024-04-26T11:05:27.000Z",3821,"2024-04-26T11:05:27.000Z",3821,-1,84,"addon","exim","importData","{}",1,"Our data governance processes are designed to break down silos and promote cross-functional collaboration across the organization.",4
5,"2024-04-26T11:05:27.000Z",3821,"2024-04-26T11:05:27.000Z",3821,-1,84,"addon","exim","importData","{}",1,"We have a well-defined understanding of the scope of our 'enterprise' from a data governance perspective.",5
6,"2024-04-26T11:05:27.000Z",3821,"2024-04-26T11:05:27.000Z",3821,-1,84,"addon","exim","importData","{}",1,"Our data governance priorities are regularly reviewed and adjusted to reflect changes in business needs and priorities.",6
7,"2024-04-26T11:05:27.000Z",3821,"2024-04-26T11:05:27.000Z",3821,-1,84,"addon","exim","importData","{}",2,"We have not perform assessment to measure program’s effectiveness includes: data management maturity, capacity to change, collaborative readiness and business alignment.",1
8,"2024-04-26T11:05:27.000Z",3821,"2024-04-26T11:05:27.000Z",3821,-1,84,"addon","exim","importData","{}",2,"Our organization has a well-defined set of data management best practices and standards.",2
9,"2024-04-26T11:05:27.000Z",3821,"2024-04-26T11:05:27.000Z",3821,-1,84,"addon","exim","importData","{}",2,"We regularly assess the effectiveness of our data management practices.",3
10,"2024-04-26T11:05:27.000Z",3821,"2024-04-26T11:05:27.000Z",3821,-1,84,"addon","exim","importData","{}",2,"Data quality and integrity are consistently prioritized across business functions.",4
11,"2024-04-26T11:05:27.000Z",3821,"2024-04-26T11:05:27.000Z",3821,-1,84,"addon","exim","importData","{}",2,"Data management roles and responsibilities (e.g., data owners, data stewards) are clearly defined.",5
12,"2024-04-26T11:05:27.000Z",3821,"2024-04-26T11:05:27.000Z",3821,-1,84,"addon","exim","importData","{}",2,"We have the necessary tools and technologies in place to support our data management needs.",6
13,"2024-04-26T11:05:27.000Z",3821,"2024-04-26T11:05:27.000Z",3821,-1,84,"addon","exim","importData","{}",3,"We have not perform assessment in the areas of data quality, data management practices.",1
14,"2024-04-26T11:05:27.000Z",3821,"2024-04-26T11:05:27.000Z",3821,-1,84,"addon","exim","importData","{}",3,"Our organization has a comprehensive understanding of its existing data-related policies, guidelines, and practices.",2
15,"2024-04-26T11:05:27.000Z",3821,"2024-04-26T11:05:27.000Z",3821,-1,84,"addon","exim","importData","{}",3,"We have thoroughly assessed the risks associated with poor data quality and identified the business processes most impacted.",3
16,"2024-04-26T11:05:27.000Z",3821,"2024-04-26T11:05:27.000Z",3821,-1,84,"addon","exim","importData","{}",3,"We have analyzed our current data management practices and identified key areas for improvement.",4
17,"2024-04-26T11:05:27.000Z",3821,"2024-04-26T11:05:27.000Z",3821,-1,84,"addon","exim","importData","{}",3,"We have a process for prioritizing data governance initiatives based on their potential impact on business goals.",5
18,"2024-04-26T11:05:27.000Z",3821,"2024-04-26T11:05:27.000Z",3821,-1,84,"addon","exim","importData","{}",3,"Our data governance roadmap aligns with our overall strategic roadmap and technology plans.",6
19,"2024-04-26T11:05:27.000Z",3821,"2024-04-26T11:05:27.000Z",3821,-1,84,"addon","exim","importData","{}",4,"We have not establish any touchpoints with key functions (Procurement, Compliance, etc.) have led to measurable improvements in data management consistency.",1
20,"2024-04-26T11:05:27.000Z",3821,"2024-04-26T11:05:27.000Z",3821,-1,84,"addon","exim","importData","{}",4,"Our data governance program has established clear channels of communication and collaboration with Procurement/Contracts.",2
21,"2024-04-26T11:05:27.000Z",3821,"2024-04-26T11:05:27.000Z",3821,-1,84,"addon","exim","importData","{}",4,"The Chief Data Officer or equivalent has a visible role in influencing data-centric decision-making across the organization.",3
22,"2024-04-26T11:05:27.000Z",3821,"2024-04-26T11:05:27.000Z",3821,-1,84,"addon","exim","importData","{}",4,"The value of data governance is well-understood by the functions with whom we have established touchpoints.",4
23,"2024-04-26T11:05:27.000Z",3821,"2024-04-26T11:05:27.000Z",3821,-1,84,"addon","exim","importData","{}",4,"Our touchpoint strategy effectively promotes a cohesive approach to data management across the enterprise.",5
24,"2024-04-26T11:05:27.000Z",3821,"2024-04-26T11:05:27.000Z",3821,-1,84,"addon","exim","importData","{}",4,"We regularly review and update our organizational touchpoints to adapt to evolving business needs.",6
25,"2024-04-26T11:05:27.000Z",3821,"2024-04-26T11:05:27.000Z",3821,-1,84,"addon","exim","importData","{}",5,"We have not develop data governance strategy.",1
26,"2024-04-26T11:05:27.000Z",3821,"2024-04-26T11:05:27.000Z",3821,-1,84,"addon","exim","importData","{}",5,"Our data governance strategy is well-understood and supported by key stakeholders across the organization.",2
27,"2024-04-26T11:05:27.000Z",3821,"2024-04-26T11:05:27.000Z",3821,-1,84,"addon","exim","importData","{}",5,"Our data governance strategy is closely aligned with our data management and IT strategies.",3
28,"2024-04-26T11:05:27.000Z",3821,"2024-04-26T11:05:27.000Z",3821,-1,84,"addon","exim","importData","{}",5,"Our data governance processes are effectively integrated into core business operations.",4
29,"2024-04-26T11:05:27.000Z",3821,"2024-04-26T11:05:27.000Z",3821,-1,84,"addon","exim","importData","{}",5,"The value and benefits of our data governance strategy are clearly communicated to the broader organization.",5
30,"2024-04-26T11:05:27.000Z",3821,"2024-04-26T11:05:27.000Z",3821,-1,84,"addon","exim","importData","{}",5,"Our data governance strategy is regularly reviewed and updated to reflect changes in business needs and priorities.",6
31,"2024-04-26T11:05:27.000Z",3821,"2024-04-26T11:05:27.000Z",3821,-1,84,"addon","exim","importData","{}",6,"We have not establish DG operating framework.",1
