category,subcategory,question,required,answer-1,score-1,answer-2,score-2,answer-3,score-3,answer-4,score-4
36,51,An internal organisation and governance system is in place to deliver an optimal customer experience,1,Your company has not thought about this or has been bogged down with running of day to day operations in a legacy way that seems to be working,1,"There is leadership intent but it has not been backed up by a plan or investment. Your company has a basic understanding but due to prioritisation on meeting immediate financial targets, no one has the headroom to pursue such initiatives properly",2,"Your company has an official company-wide initiative and a comprehensive, publicly communicated, multi-year digital programme in place. Employees are mostly supportive and actively participate in such programs, with a few detractors",3,"Your leadership have declared to the market their intent to digitally transform the organisation's services and ways of working. All employees are incentivised against those initiatives and recognise that some short-term financial pain may be required. As the initiatives are share price impacting, there is strong focus, investment and benefit tracking",4
36,52,The organisation delivers a good experience with its products & services,1,Your company has not thought about this or has been bogged down with running of day to day operations in a legacy way that seems to be working,1,"There is leadership intent but it has not been backed up by a plan or investment. Your company has a basic understanding but due to prioritisation on meeting immediate financial targets, no one has the headroom to pursue such initiatives properly",2,"Your company has an official company-wide initiative and a comprehensive, publicly communicated, multi-year digital programme in place. Employees are mostly supportive and actively participate in such programs, with a few detractors",3,"Your leadership have declared to the market their intent to digitally transform the organisation's services and ways of working. All employees are incentivised against those initiatives and recognise that some short-term financial pain may be required. As the initiatives are share price impacting, there is strong focus, investment and benefit tracking",4
36,53,The organisation makes effective use of data to generate customer insights,1,Your company has not thought about this or has been bogged down with running of day to day operations in a legacy way that seems to be working,1,"There is leadership intent but it has not been backed up by a plan or investment. Your company has a basic understanding but due to prioritisation on meeting immediate financial targets, no one has the headroom to pursue such initiatives properly",2,"Your company has an official company-wide initiative and a comprehensive, publicly communicated, multi-year digital programme in place. Employees are mostly supportive and actively participate in such programs, with a few detractors",3,"Your leadership have declared to the market their intent to digitally transform the organisation's services and ways of working. All employees are incentivised against those initiatives and recognise that some short-term financial pain may be required. As the initiatives are share price impacting, there is strong focus, investment and benefit tracking",4
36,54,The delivered experience aligns with the brand promise,1,Your company has not thought about this or has been bogged down with running of day to day operations in a legacy way that seems to be working,1,"There is leadership intent but it has not been backed up by a plan or investment. Your company has a basic understanding but due to prioritisation on meeting immediate financial targets, no one has the headroom to pursue such initiatives properly",2,"Your company has an official company-wide initiative and a comprehensive, publicly communicated, multi-year digital programme in place. Employees are mostly supportive and actively participate in such programs, with a few detractors",3,"Your leadership have declared to the market their intent to digitally transform the organisation's services and ways of working. All employees are incentivised against those initiatives and recognise that some short-term financial pain may be required. As the initiatives are share price impacting, there is strong focus, investment and benefit tracking",4
37,55,A clear and complete digital strategy is developed and adopted by the organisation,1,Your company has not thought about this or has been bogged down with running of day to day operations in a legacy way that seems to be working,1,"There is leadership intent but it has not been backed up by a plan or investment. Your company has a basic understanding but due to prioritisation on meeting immediate financial targets, no one has the headroom to pursue such initiatives properly",2,"Your company has an official company-wide initiative and a comprehensive, publicly communicated, multi-year digital programme in place. Employees are mostly supportive and actively participate in such programs, with a few detractors",3,"Your leadership have declared to the market their intent to digitally transform the organisation's services and ways of working. All employees are incentivised against those initiatives and recognise that some short-term financial pain may be required. As the initiatives are share price impacting, there is strong focus, investment and benefit tracking",4
37,56,A consistent brand message is developed and maintained across all channels,1,Your company has not thought about this or has been bogged down with running of day to day operations in a legacy way that seems to be working,1,"There is leadership intent but it has not been backed up by a plan or investment. Your company has a basic understanding but due to prioritisation on meeting immediate financial targets, no one has the headroom to pursue such initiatives properly",2,"Your company has an official company-wide initiative and a comprehensive, publicly communicated, multi-year digital programme in place. Employees are mostly supportive and actively participate in such programs, with a few detractors",3,"Your leadership have declared to the market their intent to digitally transform the organisation's services and ways of working. All employees are incentivised against those initiatives and recognise that some short-term financial pain may be required. As the initiatives are share price impacting, there is strong focus, investment and benefit tracking",4
37,57,The organisation is able to leverage ecosystems to create business value,1,Your company has not thought about this or has been bogged down with running of day to day operations in a legacy way that seems to be working,1,"There is leadership intent but it has not been backed up by a plan or investment. Your company has a basic understanding but due to prioritisation on meeting immediate financial targets, no one has the headroom to pursue such initiatives properly",2,"Your company has an official company-wide initiative and a comprehensive, publicly communicated, multi-year digital programme in place. Employees are mostly supportive and actively participate in such programs, with a few detractors",3,"Your leadership have declared to the market their intent to digitally transform the organisation's services and ways of working. All employees are incentivised against those initiatives and recognise that some short-term financial pain may be required. As the initiatives are share price impacting, there is strong focus, investment and benefit tracking",4
37,58,Financial sponsorship is in place to support the digital strategy,1,Your company has not thought about this or has been bogged down with running of day to day operations in a legacy way that seems to be working,1,"There is leadership intent but it has not been backed up by a plan or investment. Your company has a basic understanding but due to prioritisation on meeting immediate financial targets, no one has the headroom to pursue such initiatives properly",2,"Your company has an official company-wide initiative and a comprehensive, publicly communicated, multi-year digital programme in place. Employees are mostly supportive and actively participate in such programs, with a few detractors",3,"Your leadership have declared to the market their intent to digitally transform the organisation's services and ways of working. All employees are incentivised against those initiatives and recognise that some short-term financial pain may be required. As the initiatives are share price impacting, there is strong focus, investment and benefit tracking",4
37,59,Market information is gathered to inform the strategy,1,Your company has not thought about this or has been bogged down with running of day to day operations in a legacy way that seems to be working,1,"There is leadership intent but it has not been backed up by a plan or investment. Your company has a basic understanding but due to prioritisation on meeting immediate financial targets, no one has the headroom to pursue such initiatives properly",2,"Your company has an official company-wide initiative and a comprehensive, publicly communicated, multi-year digital programme in place. Employees are mostly supportive and actively participate in such programs, with a few detractors",3,"Your leadership have declared to the market their intent to digitally transform the organisation's services and ways of working. All employees are incentivised against those initiatives and recognise that some short-term financial pain may be required. As the initiatives are share price impacting, there is strong focus, investment and benefit tracking",4
37,60,The organisation maintains a balanced portfolio of digital products and services,1,Your company has not thought about this or has been bogged down with running of day to day operations in a legacy way that seems to be working,1,"There is leadership intent but it has not been backed up by a plan or investment. Your company has a basic understanding but due to prioritisation on meeting immediate financial targets, no one has the headroom to pursue such initiatives properly",2,"Your company has an official company-wide initiative and a comprehensive, publicly communicated, multi-year digital programme in place. Employees are mostly supportive and actively participate in such programs, with a few detractors",3,"Your leadership have declared to the market their intent to digitally transform the organisation's services and ways of working. All employees are incentivised against those initiatives and recognise that some short-term financial pain may be required. As the initiatives are share price impacting, there is strong focus, investment and benefit tracking",4
