category,subcategory,question,required,answer-1,score-1,answer-2,score-2,answer-3,score-3,answer-4,score-4,answer-5,score-5,answer-6,score-6
38,61,Define data governance for the organization,1,We have no data governance framework.,1,Our data governance initiatives directly support and clearly align with our overall business strategy and objectives.,2,"Our data governance framework outlines the roles and responsibilities of different stakeholders (e.g., data owners, data stewards, business units) in data-related decision-making.",3,Our data governance processes are designed to break down silos and promote cross-functional collaboration across the organization.,4,We have a well-defined understanding of the scope of our 'enterprise' from a data governance perspective.,5,Our data governance priorities are regularly reviewed and adjusted to reflect changes in business needs and priorities.,6
38,61,Perform Readiness Assessment,1,"We have not perform assessment to measure program’s effectiveness includes: data management maturity, capacity to change, collaborative readiness and business alignment.",1,Our organization has a well-defined set of data management best practices and standards.,2,We regularly assess the effectiveness of our data management practices.,3,Data quality and integrity are consistently prioritized across business functions.,4,"Data management roles and responsibilities (e.g., data owners, data stewards) are clearly defined.",5,We have the necessary tools and technologies in place to support our data management needs.,6
38,61,Perform Discovery and Business Alignment,1,"We have not perform assessment in the areas of data quality, data management practices.",1,"Our organization has a comprehensive understanding of its existing data-related policies, guidelines, and practices.",2,We have thoroughly assessed the risks associated with poor data quality and identified the business processes most impacted.,3,We have analyzed our current data management practices and identified key areas for improvement.,4,We have a process for prioritizing data governance initiatives based on their potential impact on business goals.,5,Our data governance roadmap aligns with our overall strategic roadmap and technology plans.,6
38,61,Develop Organizational Touch Points,1,"We have not establish any touchpoints with key functions (Procurement, Compliance, etc.) have led to measurable improvements in data management consistency.",1,Our data governance program has established clear channels of communication and collaboration with Procurement/Contracts.,2,The Chief Data Officer or equivalent has a visible role in influencing data-centric decision-making across the organization.,3,The value of data governance is well-understood by the functions with whom we have established touchpoints.,4,Our touchpoint strategy effectively promotes a cohesive approach to data management across the enterprise.,5,We regularly review and update our organizational touchpoints to adapt to evolving business needs.,6
38,61,Develop Data Governance Strategy,1,We have not develop data governance strategy.,1,Our data governance strategy is well-understood and supported by key stakeholders across the organization.,2,Our data governance strategy is closely aligned with our data management and IT strategies.,3,Our data governance processes are effectively integrated into core business operations.,4,The value and benefits of our data governance strategy are clearly communicated to the broader organization.,5,Our data governance strategy is regularly reviewed and updated to reflect changes in business needs and priorities.,6
38,61,Define the DG Operating Framework,1,We have not establish DG operating framework.,1,Our data governance operating framework has been effectively communicated and understood across the organization.,2,Our operating framework successfully facilitates collaboration between data governance teams and those executing data management initiatives.,3,We have integrated change management principles into our framework to promote smooth adoption of data governance practices.,4,Our operating framework includes well-defined processes for resolving data-related issues.,5,Our data governance efforts are directly contributing to demonstrable business benefits.,6
38,61,"Develop Goals, Principles, and Policies",1,"We do not have DG goals, principles, and policies defined.",1,Our data governance goals are clearly derived from and directly support our overall data governance strategy.,2,We have well-defined principles that guide our data-related decision-making and practices.,3,"Our data governance policies are comprehensive and address key areas like data quality, access, privacy, and security.",4,"Our policies are created through a collaborative process involving data stewards, business stakeholders, and relevant experts.",5,"We have a clear process for the review, revision, and adoption of data governance policies.",6
38,61,Underwrite Data Management Projects,1,We have no process for identifying and prioritizing data management improvement projects.,1,Our organization has a clear process for identifying and prioritizing data management improvement projects.,2,Data management projects consistently receive buy-in and support from cross-functional stakeholders.,3,We effectively articulate the business value and potential ROI of data management initiatives to executive sponsors.,4,Our Data Governance Council (or equivalent) plays an active role in defining business cases and overseeing project progress.,5,We have well-established coordination between our Data Governance Council and Project Management Office (PMO) functions.,6
38,61,Engage Change Management,1,We have no change management.,1,"Our stakeholders (employees, leaders, etc.) understand the importance of change management in our data governance efforts.",2,We have an assigned team or individuals responsible for planning and implementing change management activities related to data governance.,3,Our data governance training programs are comprehensive and reach employees at all levels.,4,We incorporate data governance considerations into our project management processes.,5,Our communications strategy seeks feedback throughout the data governance change process and uses that feedback to make improvements.,6
38,61,Engage in Issue Management,1,We do not have issue management.,1,"Our organization has a well-defined process for identifying, logging, and tracking data governance issues.",2,"We have clear guidelines for escalating unresolved issues to the appropriate decision-making bodies (e.g., Data Stewards, Data Governance Council).",3,We prioritize issues based on their potential impact on business goals and compliance requirements.,4,"We thoroughly document resolutions, including root causes and agreed-upon actions.",5,"We track key performance indicators (KPIs) related to issue resolution efficiency (e.g., time to resolution, percentage of issues resolved at different levels).",6
