category,subcategory,question,required,answer-1,score-1,answer-2,score-2,answer-3,score-3,answer-4,score-4,answer-5,score-5,answer-6,score-6
25,36,"Leadership (Thinking of senior leadership in your company, which of the following statements best describes their behaviour when it comes to digital transformation in the company?)",1,There is very little reference to any digital intent at your company leadership level.,1,"Your leaders occasionally talk to a digital intent, but it is not incorporated in the company strategy, nor are there any significant initiatives underway.",2,"Your leaders have clearly articulated a digital services and or transformation intent. Execution details, leadership, and incentivisation are unclear.",3,"A quorate of individuals in your company are taking initial steps to embed digital services and ways of working. Whilst they have leadership blessing, their initiatives are ad-hoc and meeting some resistance.",4,Your company has an official company-wide initiative aimed at embedding digital services and ways of working. Your leadership are vocal about its importance and have incentivised key resources on its success. Early benefits have been seen from quick-wins although it is taking some time to get traction on wholesale operating model changes.,5,Your leadership have declared to the market their intent to digitally transform the organisation's services and ways of working. The initiative is potentially share-price impacting. Significant resources are being invest to a central team that has the mandate to make significant changes across all organisational departments.,6
25,36,Risk appetite,1,Your company is very risk-adverse to anything that could upset current financial projections or ways of working.,1,"Your company is predominantly focused on the next financial quarter/year. Your leadership may occasionally reference digital intent, but there is little evidence of significant investment.",2,"Your leadership have communicated a high-level digital intent and kicked off a number of pilots. Pilot failure is not received well, however, and a number of pilots are closed down when finances get tight at the end of a financial quarter/year.",3,Your company has a high-level digital intent and there may even be broad/small incentives to deliver against it. There are a significant number of initiatives afoot across the organisation although they lack co-ordination.,4,"You have a comprehensive, publicly communicated, multi-year digital programme in place. It has attracted sufficient ring-fenced investment/focus to be moderately share-price impacting. Wholesale change to your organisation is sanctioned and it is accepted that this may result in a dip in performance and that some ideas will fail.",5,"Your digital intent is at the heart of the company's future direction, as communicated to share-holders. All business unit leads are heavily incentivised on change and recognise that some short-term financial pain may be required. Delivery of objectives could have substantial impact on share-price.",6
25,36,Eco-system,1,"Your company has no true partnerships nor intent to innovate with outside parties. Information channels with suppliers and customers are formal, with little chance of feedback their leading to meaningful change.",1,"Your leaderships may talk superficially about listening to the customer and collaborating with partners, but it is extremely clear that day to day focus should be on achieving internal targets. You guard your IP and business information extremely tightly. You never seek out external experts, nor do you ever invest in start-ups or external research.",2,"Some of your leaders are actively looking to improve external collaboration e.g. through NPS or supplier forums, but very little concrete action comes from the intent. Your external relationships are predominantly transactional. You rarely seek out external experts, or invest in start-ups or external research.",3,"There is a general understanding across the organisation that more needs to be done to understand customers and collaborate on ideas.  There are many dis-jointed efforts underway. This is often confusing to external parties. Funding and a mandate for these initiatives is often lacking, resulting in many petering out. ",4,"You have a company-wide initiative aimed at improving eco-system engagement. It has a clear mandate and significant funding. Many individuals are incentivised on the its success. You are pro-actively seeking out external experts, start-ups and research. Caution remains in terms of the information that can be shared with partners and how much time can be spent on partner-raised initiatives. It is ea",5,"Improving customer and partner engagement is at the centre of company action, and company-wide incentivisation underpins it. The company is  open in terms of sharing information and could not survive without key partners. Significant time is spent in cross-company teams. You spend significant effort engaging external experts, start-ups, and research, and have recently made a number of start-up acqu",6
25,36,Collaboration,1,Your company has rigid business units and roles that deal transactionally with each other. Your processes are highly linear and include a lot of hand-offs between business units. Very little time is spent with people outside of your home department.,1,"Your leadership talk superficially about improving collaboration. Occasional steering or working groups may be established to encourage collaborative decision-making, but little day-to-day work is delivered with people outside of your home department. It is recognised that process hand-offs cause significant inefficiency.",2,"Your leadership recognise that silo'd working is leading to a lot of inefficiencies. A number of cross-unit working teams have been established and some process changes embedded to encourage collaboration rather than hand-offs. Incentivisation and leadership focus, however, is still very much fixed on the success of home business units.",3,"Key business units are beginning to collaborate more together and share some incentives. Process changes are encouraging multi-unit collaboration and working groups seem to be cropping up everywhere. There is wide-spread recognition, however, that this collaboration is ad-hoc and un-coordinated.",4,There is a serious company-wide intent to collaborate across business unit boundaries. You have a clear operating model that encourages this in a co-ordinated manner. A significant % of people's time is spent with workers from other departments. A significant proportion of incentives are reliant on the success of other departments.,5,The concept of a business unit is fluid in your organisation. A high proportion of time is spent in cross-BU teams. Incentivisation is often task- rather than role-orientated and shared by cross-BU working teams. Your workplace is designed to suit flexible teams.,6
25,36,Agility,1,"You company takes a strictly waterfall approach to product development and you are not aware of any recent attempts to improve processes. Jobs are measured on outputs, as defined by JDs or processes. There are a lot of hand-offs. Your developers reside in a 'black-box' and are rarely engage with anyone else.",1,"Your leadership talk superficially about moving to more agile ways of working. There may be an occasional pilot to trial iterative product development or process improvement but it is not a common approach. Jobs are measured on outputs, as defined by JDs or processes.",2,Your leadership recognise that greater agility is required. Some members of your product and IT teams have been trained up in agile methods although they are generally unable to utilise the approach in practice. A few basic process improvements have been made with the objective to increase speed.,3,"Some key individuals in your organisation are leading a crusade towards agile working. As such, some iterative, outcome-focussed, test-driven characteristics are starting to creep into your product development and process improvement approach. Progress is ad-hoc, however, and most people are still focussed and measured on outputs.",4,"There is a serious company-wide intent to establish more agile working. A robust approach and sophisticated tooling has been invested in and is progressively driving iterative, out-come focused, test-driven behaviours. There remains some resistance from 'old-timers', but the majority see the benefits.",5,"Your company has a highly-iterative and service-orientated approach to product development and service improvement, backed up by a robust approach and sophisticated tooling. Your developers spend a significant amount of time engaging with users, often face-to-face. Your working teams are typically multi-departmental or multi-organisational, outcome-incentivised, and self-organising. Your developmen",6
25,37,Technology as a multiplier,1,Your IT estate is jumble of legacy systems. Most processes sit across multiple un-connected systems. There is little ability to automatically share useful data.,1,Your CIO may talk about the need for a coherent IT strategy but there is no obvious architecture of investment behind the idea. There are some 'sticking plasters' in place where legacy systems are patched together to support the most key processes. IT are very protective of the IT estate and there are serious concerns as to security risk.,2,"There is leadership recognition that digital capabilities should be a consideration of the business, not just IT. However, the business is generally caught up in the day job and, whilst passes lighly-specced requirements to IT, doesn't invest significant time in achieving the desired output. Some new platforms and APIs have been invested in, but they're not truly transformational.",3,"Some business unit leaders and the CIO recognise the benefits digital transformation can bring and secure a reasonable level of funding to this end. IT estate rationalisation and cost reduction is at the heart of this. New systems bring moderate benefits, typically increasing the quality of time of a transaction by a few %. Vendor selection takes significant time and 'safe' options usually selected",4,"Most business unit leaders and the CIO believe digital transformation to be critical to the future. Revenue growth, as well as cost transformation, is at the heart of the business case for change. Some new platforms bring exponential benefits. Some smaller technology providers are incorporated into the IT stack.",5,All leadership are heavily focussed on digital transformation. Customer experience and revenue growth are at the heart of the business case for change. New platforms bring heavy exponential benefits. A substantial eco-system of potential new technology partners is constantly under review. A number of technology start-up investments/acquisitions has been made.,6
25,37,Data and APIs,1,"Your company's data resides in disparate, un-connected tools. Most staff are not aware of what data is available. Staff undertake regular re-entry of data as systems are un-connected. There is significant frustration that available data can't be used to help decision-making in a timely manner. Workflows typically get stuck at the point of system hand-offs",1,"Your CIO has stated an intent to join-up key sources of disparate data and has put some basic 'vendor-recommend' APIs between in place. This integration is inflexible, however, and only members of the IT department are able to make changes. There is significant frustration as to the inability to get the right data at the right time. ",2,"There is high level recognition that data can provide value, but little attempt to quantify it. Your company has a lot of APIs but they are generally developed in an ad-hoc tactical manner with cost reduction in mind, and are predominantly the concern of IT. ",3,"Your company has a basic data strategy and data model with some quantification and a small team focussed on delivering it. Whilst some quick wins have been touted, data compliance/security/budget concerns are restricting progress. There are pockets of API-champions developing highly useful APIs that can bring benefit to the wider-business and partners. They are not well understood, however.",4,"Your company has a well-architected, quantified data strategy and model with requirements from the whole business taken into account. It's benefits are predominantly as a result of cost reduction. You are in the process of transforming your IT estate. Data compliance and security concerns have been allayed. Early wins are proving to be highly beneficial to the business. You have a structured approa",5,"Your company's strategy values data as a key source of differentiation. Benefits are expected from revenue enhancement and monetization of data, as well as cost reduction. You have a central data-lake consisting of both structured and un-structured data, and with significant AI capability. The concept of API-as--a-service is embedded in the culture. People across the business and  external partners",6
25,37,AI/ML/automation,1,Your company has no AI or machine learning (ML) supporting key processes. IT automation of tasks is minimal. Your operations are heavily reliant on the talent of your people.,1,Your company has captured some basic linear workflows into systems which has resulted in moderate improvements in speed and consistency. You remain highly dependent on human operators for even the most basic of processes. Your company has no AI or ML capabilities.,2,Your CIO is investigating how AI/ML/automation might be able to improve business operations and some quantification has been completed.  A little 'process simplification' work has been undertaken by the IT team. Minimal investment has been secured to drive this initiative forward and there has been little engagement with external vendors.,3,"Various departments, including IT, have an active interest in utilising AI/ML and automation technologies. A disparate set of improvement initiatives have been prepared and funded, with some early successes. Some vendors have been engaged.",4,"Your company has agreed an over-arching strategy and business case for AI/ML/automation. It is being executed through a well-structured plan, and a competent cross-business team. An array of vendors have been engaged. There is a plan for most displaced resources to engage in more value-adding tasks.",5,"Automation/AI/ML is at the heart of your company's operating model. 'Autonomous', 'robotic' and 'IOT' technologies are widely dispersed throughout operations. AI is providing insights beyond human-capability. Your ratio of profit to headcount is industry-leading.",6
25,37,Connectivity and IOT,1,"Your IT architecture supports little beyond the most basis transactional interactions. Mobile, social, locational, and real-time capabilities are almost non-existent.",1,"Your IT team is seeking to provide some quick-wins around social media, multi-channel customer engagement, and very basic asset tracking. You may have a very basic data model.",2,"Your leadership recognises that more granular visibility of operations and customer sentiment would be beneficial. Some 'pilot' work has been done on standardisation of data models and connectivity of devices, although there is little visualisation so the data remains abstract. Customer interaction and asset tracking is gradually becoming more sophisticated.",3,"Your IT department is trying to build a simple data model that tracks your core operational processes, and builds greater insight around customer sentiment. This includes some locational, real-time data as well as basic bots. It is not yet widely utilised across the organisation.",4,"Your leadership is invested in utilising a central data repository to improve customer service and operational efficiency. This repository contains granular, near-real-time data relating to physical and virtual assets, collected through a network of bots and  devices. Your improved understanding of customers has seen a rise in metrics. Analytics software provide input to some business decisions. Pr",5,"Your company has a holistic connectivity and device architecture in place with highly granular real-time data. You effectively have a virtual model of your business. Analytical and predictive software is processing many work-flows automatically and providing increased accuracy in terms of future predictions. New business models are in use, where costs are off-set by a guaranteed service. Physical a",6
25,37,Security,1,"Your company has some disparate security controls in place around applications, data, and infrastructure. There is no clear security architecture and changes to the IT estate are resisted. ",1,"Your company has a basic high level security architecture but no risk-based model associated with it. There is some attempt to provide security holistically across applications, data, and infrastructure, and also maintain standards during patches and upgrades. The company is reactive to security compliance requirements. IT is pretty resistant to new technology.",2,"You have a full-time security team in place but they predominantly respond to incidents rather than strategically lower the cyber risk of the ICT estate. The team are nervous about engaging external experts or subjecting their estate to penetration testing. IT are generally resistant to new technology, although they are trying to balance that with a desire to push forward the digital intent.",3,"A number of key individuals in your company are seeking to measure and lower the security risk of your IT estate in a strategic manner. Security staff are solving route problems, rather than just responding to incidents. Impact/quantification of potential breaches is known at a high level. A number of market-leading vendors engaged.",4,Your company has a structured approach to cyber risk quantification and management. Risk levels are discussed at board level. You have a full time CISO. Your cyber defences involve basic AI. You have a well-trained Security Operations Centre (SOCS) in place who are pre-emptive in assessing potential risks. You are continuously assessing vendors for improvements in technology. ,5,Cyber risk is a major item at board level. You have an holistic cyber defence platform with capabilities from multiple vendors and significant AI processing of real-time data. You purchase data feeds from key providers to increase your insight. Your Security Operations Centre is focussed predominantly on pre-emptive problem solving. You are constantly in active conversation with the most innovative,6
