category,subcategory,question,required,answer-1,score-1,answer-2,score-2,answer-3,score-3,answer-4,score-4,answer-5,score-5,answer-6,score-6
24,35,"In your organization, do employees trust the quality of data to make decisions?",1,No,1,There is some trust; data is used anecdotally.,2,"The employees trust the data to a degree, but data is manipulated and validated before it is used. The data is only used as a reference and as not as a key input.",3,Data is somewhat trusted and used 50-60% of the time as an input to support decision making.,4,Data is trusted and used 70-90% of the time as an input to support decision making.,5,Data is trusted and used 90-100% of the time as an input to support decision making.,6
24,35,"In your organization, are there quality metrics defined for your data and are they approved by a Data Governance Board?",1,No,1,A few for key pieces of data,2,Some for certain categories of data,3,Most categories and data domains,4,For all data identified as key for decision making,5,For all our data,6
24,35,"In your organization, are data quality issues documented?",1,Never,1,Rarely,2,Occasionally,3,Often,4,Always for data used in key meetings and decision making,5,Always,6
24,35,"In your organization, is there a clear agreement between technical and business domains on managing data quality issues?",1,"There is no management of quality issues, let alone any agreement",1,"There are some quality management activities, but no agreement between technical and business domains on managing data quality issues.",2,"There are quality management activities, but only limited agreement between technical and business domains on managing data quality issues.",3,"There are quality management activities, with moderate agreement between technical and business domains on managing data quality issues.",4,"There are quality management activities, and strong agreement between technical and business domains on managing data quality issues.",5,Technical and business domains are fully aligned on managing data quality issues?,6
24,35,"In your organization, is there a process for managing data quality issues?",1,There is no process for managing data quality issues,1,The development of the process for managing data quality issues has just started,2,The development of the process for managing data quality issues is partly complete,3,The development of the process for managing data quality issues is complete,4,The process for managing data quality issues is complete and deployed,5,"The process for managing data quality issues is complete, deployed and actively used and monitored",6
24,35,"In your organization, how often are data quality metrics used by the technical domains?",1,Never,1,Rarely,2,Occasionally,3,Often,4,Almost always but operating processes and procedures are not consistent followed,5,"On a daily basis, operating processes and procedures are consistently followed",6
24,35,"In your organization, how often are data quality metrics used by the business domains?",1,Never,1,Rarely,2,Occasionally,3,Often,4,Almost always but operating processes and procedures are not consistent followed,5,"On a daily basis, operating processes and procedures are consistently followed",6
24,35,"In your organization, is there a process to take corrective action and/or improve data quality metrics based on feedback from the business or the Data Governance Board?",1,There are no processes or procedures to take corrective action and/or improve data quality metrics based on feedback from the data governance board,1,The development of the processes and procedures to take corrective action and/or improve data quality metrics based on feedback from the data governance board has just started.,2,The development of the processes and procedures to take corrective action and/or improve data quality metrics based on feedback from the data governance board is partly complete.,3,The development of the processes and procedures to take corrective action and/or improve data quality metrics based on feedback from the data governance board is complete.,4,The development of the processes and procedures to take corrective action and/or improve data quality metrics based on feedback from the data governance board has been completed and deployed.,5,"The development of the processes and procedures to take corrective action and/or improve data quality metrics based on feedback from the data governance board has been completed, deployed and is actively being used and monitored.",6
24,35,"How does your organization ensure the accuracy, completeness, and reliability of its data?",1,No formal processes or procedures: We do not have any formal processes or procedures in place to ensure data quality,1,"Ad hoc corrections: Data quality issues are addressed reactively, and corrections are made on an ad hoc basis without standardized procedures",2,"Defined standards, processes and procedures: We have defined data quality standards, processes, and procedures but they are not consistently applied across all departments",3,"Integrated quality checks: Data quality checks are integrated into our data handling processes and procedures, with automated tools to ensure consistency and accuracy across all data sources",4,"Continuous improvement and monitoring: We continuously monitor data quality, use advanced tools for data cleansing, and regularly update our processes and procedures based on data quality audits and feedback mechanisms",5,"Proactive and predictive data quality management: In addition to continuous monitoring and regular updates based on audits, the organization employs predictive analytics to anticipate data quality issues before they occur.",6
24,35,How confident are you that your answers for this section are correct and offer a fair and balanced view?,1,0% confident,1,20-30% confident,2,40-50% confident,3,60-70% confident,4,80-90% confident,5,100% confident,6
